Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Is_registered,Has_code
18876.0,Kachuth Dispensary,Kachuth Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,homa bay,Ndhiwa,Ndhiwa,Kwabwai,Operational,False,False,False,False,True,True,False,False,True
18875.0,Hope World Wide Nakuru,Hope World Wide Nakuru,,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,nakuru,Nakuru Town East,Nakuru East,Biashara,Operational,False,False,False,False,True,True,False,False,True
18874.0,Got Kamondi Dispensary,Got Kamondi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,homa bay,Kabondo Kasipul,Kabondo Kasipul,Kabondo East,Operational,False,False,False,False,True,True,False,False,True
18873.0,Wondeni Dispensary,Wondeni Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,5,2,7,machakos,Machakos Town,Machakos,Muvuti/Kiima-kimwe,Operational,False,False,False,False,True,True,False,False,True
18872.0,K K Mwethe Diispensary,KK Mwethe DIspensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,Tigania East,Tigania East,Kinguchwa,Operational,False,False,False,False,True,True,False,False,True
18871.0,Ankamia Dispensary,Ankamia Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,Tigania East,Tigania East,Thangatha,Operational,False,False,False,False,True,True,False,False,True
18869.0,Kandebene Dispensary,Kandebene dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,Tigania West,Tigania West,Athwana,Operational,False,False,False,False,True,True,False,False,True
18868.0,Matabithi Dispensary,Matabithi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,Tigania East,Tigania East,Muthara,Operational,False,False,False,False,True,True,False,False,True
18867.0,Nyabondo Rehabilitation Centre,Nyabondo Rehabilitation Centre,,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,kisumu,Nyakach,Nyakach,South East Nyakach,Operational,False,False,False,False,True,True,False,False,True
18866.0,Gari Dispensary (nyakach),Gari Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,homa bay,Kabondo Kasipul,Kabondo Kasipul,Kabondo East,Operational,False,False,True,False,True,True,False,False,True
18865.0,Nyabola CDF Dispensary,Nyabola CDF Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kisumu,Nyakach,Nyakach,Central Nyakach,Operational,False,False,True,False,True,True,False,False,True
18864.0,Igarii Dispensary,Igarii Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,Tigania East,Tigania East,Thangatha,Operational,False,False,False,False,True,True,False,False,True
18863.0,Mulika Dispensary,Mulika Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,Tigania East,Tigania East,Mikinduri,Operational,False,False,False,False,True,True,False,False,True
18860.0,Wellness Program KWS Hq,Wellness Program KWS HQ,,Level 2,Dispensary,DISPENSARY,Public Institution - Parastatal,Ministry of Health,Ministry of Health,0,0,0,nairobi,Langata,Langata,Mugumo-ini,Operational,False,False,False,False,True,True,False,False,True
