Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Beds_data_suspect
15230.0,Mosoriot TTC Dispensary,Mosoriot TTC Dispensary,,Level 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Ministry of Health,0.0,0,0,nandi,Chesumei,Chesumei,Lelmoko/Ngechek,Operational,False,False,False,False,True,True,False,False
15232.0,Mother Kevin Hospital (Catholic),Mother Kevin Hospital (Catholic),001036,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,17.0,1,18,nakuru,Nakuru Town West,Nakuru West,Kaptembwo,Operational,True,False,True,False,True,True,False,False
15233.0,Motiret Dispensary,Motiret Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,bomet,Sotik,Sotik,Kipsonoi,Operational,False,False,False,False,True,True,False,False
15238.0,Msekekwa Health Centre,Msekekwa Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,8.0,2,10,elgeyo marakwet,Keiyo North,Keiyo North,Kapchemutwa,Operational,True,False,False,False,True,True,False,False
15234.0,Motosiet Health Centre,Motosiet Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,trans nzoia,Cherangany,Cherangany,Motosiet,Operational,False,False,False,False,True,True,False,True
15241.0,Mt Longonot Hospital,Mt Longonot Hospital,,Level 4,Primary Care Hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,33.0,2,35,nakuru,Naivasha,Naivasha,Viwandani,Operational,True,False,True,False,True,True,False,False
15240.0,Mt Elgon National Park Dispensary,Mt Elgon National Park Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,trans nzoia,Endebess,Endebess,Endebess,Operational,False,False,False,False,True,True,False,False
15245.0,Mugumoini Dispensary (Kipkelion),Mugumoini Dispensary (Kipkelion),,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4.0,0,4,kericho,Kipkelion East,Kipkelion East,Tendeno/Sorget,Operational,False,False,False,False,True,True,False,False
15244.0,Mugango Dispensary,Mugango Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,bomet,Bomet Central,Bomet Central,Singorwet,Operational,False,False,False,False,True,True,False,False
15247.0,Muhotetu Dispensary,Muhotetu Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,laikipia,Laikipia West,Laikipia West,Marmanet,Operational,False,False,False,False,True,True,False,False
15246.0,Mugurin Dispensary,Mugurin Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,6.0,0,6,baringo,Mogotio,Mogotio,Kisanana,Operational,False,False,False,False,True,True,False,False
15250.0,Mulemi Maternity Home,Mulemi Maternity and Nursing Home,,Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,12.0,0,12,nakuru,Naivasha,Naivasha,Viwandani,Operational,True,True,True,True,True,True,False,False
15243.0,Muchukwo Dispensary,Muchukwo Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,baringo,Baringo North,Baringo North,Barwessa,Operational,False,False,False,False,True,True,False,False
15251.0,Mulot Catholic Dispensary,Mulot Catholic Dispensary,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,7.0,2,9,narok,Narok West,Narok West,Ilmotiook,Operational,False,False,False,False,True,True,False,False
15242.0,Mtaragon Health Centre,Mtaragon Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,22.0,0,22,kericho,Kipkelion West,Kipkelion West,Kamasian,Operational,False,False,False,False,True,True,False,False
15252.0,Mungwa Dispensary,Mungwa Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,elgeyo marakwet,Marakwet East,Marakwet East,Embobut/Embulot,Operational,False,False,False,False,True,True,False,False
15254.0,Murgor Hills Dispensary,Murgor Hills Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,uasin gishu,Turbo,Turbo,Tapsagoi,Operational,False,False,False,False,True,True,False,False
15260.0,Muskut Health Centre,Muskut Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,8.0,1,9,elgeyo marakwet,Keiyo South,Keiyo South,Soy North,Operational,True,False,True,False,True,True,False,False
15256.0,Muricho Dispensary,Muricho Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0,0,nakuru,Rongai,Rongai,Visoi,Operational,False,False,False,False,True,True,False,False
15263.0,Muthegera Dispensary,Muthegera Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2.0,0,2,laikipia,Laikipia West,Laikipia West,Igwamiti,Operational,False,False,False,False,True,True,False,False
15261.0,Mutara Dispensary,Mutara Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2.0,0,2,laikipia,Laikipia West,Laikipia West,Salama,Operational,False,False,False,False,True,True,False,False
