Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,year
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Marenga Community Health Unit,701946,2018
fully-functional,Makadara Health Centre,maringo/hamza,makadara,makadara,nairobi,Hamza Zone D Community Health Unit,701945,2018
fully-functional,Eastleigh Health Centre,airbase,kamukunji,kamukunji,nairobi,Amani Community Health Unit,701944,2018
fully-functional,Kayole I Health Centre,kayole north,embakasi central,embakasi central,nairobi,Springvalley C Community Health Unit,701943,2017
fully-functional,Dandora II Health Centre,dandora area i,embakasi north,embakasi north,nairobi,Mazuri Community Health Unit,701942,2018
closed,Eastleigh Health Centre,airbase,kamukunji,kamukunji,nairobi,Upendo Community Health Unit,701941,2018
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Good Hope Area Community Health Unit,701940,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Mabenderani Community Health Unit,701939,2018
fully-functional,Railway Training Institute Dispensary South B,nairobi south,starehe,starehe,nairobi,Hazina Community Health Unit,701938,2018
fully-functional,Kayole I Health Centre,kayole north,embakasi central,embakasi central,nairobi,Springvalley B Community Health Unit,701937,2017
fully-functional,Jericho Health Centre,harambee,makadara,makadara,nairobi,Lumumba Xw Zone Community Health Unit,701936,2018
fully-functional,Langata Health Centre (Mugumo-Ini),mugumo-ini,langata,langata,nairobi,Southlands B Community Health Unit,701935,2018
fully-functional,Railway Training Institute Dispensary South B,nairobi south,starehe,starehe,nairobi,Bakiri View A Community Health Unit,701934,2018
fully-functional,Hono Clinic,harambee,makadara,makadara,nairobi,Jericho Block U/V Community Health Unit,701933,2018
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Precious Community Health Unit,701932,2018
fully-functional,Kayole I Health Centre,kayole north,embakasi central,embakasi central,nairobi,Springvalley A Community Health Unit,701931,2017
fully-functional,Eastleigh Health Centre,airbase,kamukunji,kamukunji,nairobi,Red Bird Community Health Unit,701930,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Kangora One Community Health Unit,701929,2018
fully-functional,Kayole I Health Centre,kayole north,embakasi central,embakasi central,nairobi,Maana Cd Community Health Unit,701928,2017
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Kambi Moto Community Health Unit,701927,2018
fully-functional,Jericho Health Centre,harambee,makadara,makadara,nairobi,Lumumba Ab Zone Community Health Unit,701926,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Kangora Two Community Health Unit,701925,2018
